cluster,ingredient,presence_rate
0,calories,0.9497041420118343
0,total fat,0.7641589180050719
0,cholesterol,0.2092138630600169
0,protein,0.19737954353338968
0,total carbohydrate,0.1018596787827557
0,total carbohydrates,0.08791208791208792
0,vitamin e,0.08537616229923922
0,sodium,0.07861369399830938
0,fish oil,0.05917159763313609
0,carbohydrates,0.05452240067624683
0,total omega-3 fatty acids,0.04649196956889264
0,fish oil concentrate,0.04395604395604396
0,vitamin d3,0.04268808114961961
0,energy,0.039729501267962805
0,vitamin d,0.03803888419273035
1,magnesium,0.9154285714285715
1,calcium,0.4725714285714286
1,zinc,0.2782857142857143
1,potassium,0.236
1,vitamin b6,0.23085714285714284
1,vitamin d3,0.15257142857142858
1,vitamin c,0.1457142857142857
1,sodium,0.14057142857142857
1,manganese,0.13485714285714287
1,boron,0.12285714285714286
1,vitamin b12,0.11028571428571429
1,copper,0.10571428571428572
1,selenium,0.08571428571428572
1,vitamin d,0.08514285714285715
1,chromium,0.08342857142857144
2,zinc,0.990521327014218
2,vitamin c,0.9794628751974723
2,vitamin b6,0.9778830963665087
2,vitamin a,0.976303317535545
2,vitamin b12,0.9723538704581358
2,biotin,0.9620853080568721
2,vitamin e,0.957345971563981
2,manganese,0.9233807266982622
2,selenium,0.9178515007898894
2,pantothenic acid,0.9162717219589257
2,folate,0.8886255924170616
2,magnesium,0.8838862559241706
2,niacin,0.8775671406003159
2,riboflavin,0.8467614533965245
2,chromium,0.8467614533965245
3,calories,0.9974408189379399
3,protein,0.9878438899552143
3,sodium,0.9737683941138836
3,total fat,0.8886756238003839
3,calcium,0.8784388995521433
3,total carbohydrates,0.8784388995521433
3,potassium,0.8349328214971209
3,cholesterol,0.7472808701215611
3,iron,0.7293666026871402
3,vitamin d,0.3474088291746641
3,magnesium,0.2399232245681382
3,phosphorus,0.18426103646833014
3,vitamin c,0.17722328854766475
3,vitamin a,0.145233525271913
3,total carbohydrate,0.10876519513755598
4,calories,0.9803738317757009
4,total carbohydrates,0.9227414330218069
4,sodium,0.5242990654205607
4,vitamin c,0.20342679127725857
4,protein,0.1529595015576324
4,calcium,0.1308411214953271
4,potassium,0.1292834890965732
4,magnesium,0.1118380062305296
4,vitamin b12,0.10124610591900311
4,zinc,0.10062305295950155
4,vitamin b6,0.08037383177570094
4,vitamin d,0.06822429906542056
4,total fat,0.06417445482866044
4,vitamin d3,0.041121495327102804
4,vitamin e,0.040498442367601244
5,proprietary blend,0.06105904404873477
5,proprietary extract blend,0.028303655107778818
5,calcium,0.02731958762886598
5,vitamin d3,0.023008434864104966
5,vitamin b12,0.022774133083411432
5,vitamin b6,0.02146204311152765
5,zinc,0.020524835988753515
5,bioperine,0.018134957825679476
5,melatonin,0.01611996251171509
5,vitamin d,0.014948453608247423
5,total carbohydrates,0.014151827553889409
5,vitamin e,0.012839737582005623
5,sodium,0.01232427366447985
5,chromium,0.011152764761012183
5,bromelain,0.011105904404873477
6,vitamin b6,0.9743150684931506
6,vitamin b12,0.925513698630137
6,niacin,0.8090753424657534
6,pantothenic acid,0.7337328767123288
6,folate,0.6840753424657534
6,vitamin c,0.622431506849315
6,biotin,0.598458904109589
6,riboflavin,0.586472602739726
6,thiamine,0.5821917808219178
6,calories,0.476027397260274
6,zinc,0.4229452054794521
6,total carbohydrates,0.3904109589041096
6,vitamin e,0.3809931506849315
6,vitamin a,0.3707191780821918
6,sodium,0.24143835616438356
7,vitamin c,0.9708580679978414
7,zinc,0.27361036157582297
7,vitamin e,0.16837560712358338
7,vitamin a,0.13113869400971398
7,vitamin b6,0.12142471667566108
7,selenium,0.0992984349703184
7,calcium,0.09821910415542363
7,calories,0.09660010793308149
7,vitamin d3,0.07825148407987048
7,sodium,0.07609282245008095
7,vitamin b12,0.07339449541284404
7,proprietary blend,0.06475984889368591
7,quercetin,0.06152185644900162
7,copper,0.05936319481921209
7,magnesium,0.058823529411764705
