ingredient_name,count,mean,std,min,median,max
calories,9212,82.68364633087278,223.32187163412897,0.0,27.0,5348.28
total carbohydrates,6530,10.026347932618684,39.770113406674696,0.0,4.0,1368.0
vitamin c,5530,392.04526582278476,708.5418594714579,0.0,150.0,15600.0
calcium,5382,297.48603678929766,437.2984513253281,0.0,140.0,7254.0
sodium,5271,186.10447068867387,326.6423160212488,0.0,63.0,6300.0
vitamin b6,4223,40.92784688609993,182.26748482390636,0.0,10.0,6000.0
total fat,4222,7.274952155376599,75.21908703590863,0.0,2.0,2940.0
magnesium,4220,211.36852395734599,300.30065375838336,0.0,105.0,6428.549999999999
zinc,4052,24.12207403751234,98.68388938351691,0.0,15.0,5000.0
vitamin b12,3979,397.8555989499874,1100.1732079640842,0.0,50.0,21000.0
