label,Cognitive/Focus,Digestive/Gut,Energy,General Wellness,Heart/Cardio,Immune,Joint/Bone,Men’s/Women’s,Sleep/Calm,Sports/Performance
Cognitive/Focus,1.0,0.06239286938635585,0.17712455247785944,0.08925907508702138,0.19441044471644228,0.12162986458460412,0.08949416342412451,0.09120126448893572,0.13645418326693226,0.1350596125186289
Digestive/Gut,0.06239286938635585,1.0,0.13266782407407407,0.0808410367953598,0.09836065573770492,0.19243111652096934,0.07256235827664399,0.13786239281339321,0.07260034904013962,0.10352264557872035
Energy,0.17712455247785944,0.13266782407407407,1.0,0.11168639053254438,0.1761194029850746,0.1788086681912229,0.07579422673762297,0.15022652388797364,0.1286208781198761,0.24661071659134925
General Wellness,0.08925907508702138,0.0808410367953598,0.11168639053254438,1.0,0.09466303077522399,0.1283375314861461,0.095531235750114,0.079957805907173,0.06389776357827476,0.06995433789954338
Heart/Cardio,0.19441044471644228,0.09836065573770492,0.1761194029850746,0.09466303077522399,1.0,0.18047069472731386,0.14936847885777046,0.13185169906667354,0.10197493353589061,0.1584768525833465
Immune,0.12162986458460412,0.19243111652096934,0.1788086681912229,0.1283375314861461,0.18047069472731386,1.0,0.15406767458603313,0.24129975948559368,0.09642600143919405,0.17677547419497133
Joint/Bone,0.08949416342412451,0.07256235827664399,0.07579422673762297,0.095531235750114,0.14936847885777046,0.15406767458603313,1.0,0.10158448868966954,0.06150244732921898,0.12245952462969342
Men’s/Women’s,0.09120126448893572,0.13786239281339321,0.15022652388797364,0.079957805907173,0.13185169906667354,0.24129975948559368,0.10158448868966954,1.0,0.09742363877822045,0.14447825862691493
Sleep/Calm,0.13645418326693226,0.07260034904013962,0.1286208781198761,0.06389776357827476,0.10197493353589061,0.09642600143919405,0.06150244732921898,0.09742363877822045,1.0,0.10722140762463343
Sports/Performance,0.1350596125186289,0.10352264557872035,0.24661071659134925,0.06995433789954338,0.1584768525833465,0.17677547419497133,0.12245952462969342,0.14447825862691493,0.10722140762463343,1.0
